franchID,franchName,active,NAassoc
CHD,Chunichi Dragons,Y,
DNB,Yokohama DeNA BayStars,Y,
HNT,Hanshin Tigers,Y,
HRC,Hiroshima Toyo Carp,Y,
LTM,Chiba Lotte Marines,Y,
NPH,Hokkaido Nippon-Ham Fighters,Y,
OBF,Orix Buffaloes,Y,
RKE,Tohoku Rakuten Golden Eagles,Y,
SBH,Fukuoka SoftBank Hawks,Y,
SBL,Saitama Seibu Lions,Y,
YKS,Tokyo Yakult Swallows,Y,
YMG,Yomiuri Giants,Y,
ASH,Tokyo Asahi,N,
DES,Daiei Stars,N,
DTK,Dai-Tokyo,N,
EGL,Kurowashi Eagles,N,
KGR,Kinki Great Ring,N,
KNB,Kintetsu Buffaloes,N,
KNS,Nagoya Kinshachi,N,
NNP,Nishinihon Pirates,N,
OBW,Orix BlueWave,N,
SKR,Shochiku Robins,N,
SNG,Sangyo,N,
TKS,Tokyo Senators,N,
TKU,Takahashi Unions,N,
